Entity Name,Plant Name,Plant State,County,Nameplate Capacity (MW),Technology,Latitude,Longitude
"ND Paper, Inc.",Biron Mill,WI,Wood,21.5,Conventional Steam Coal,44.43,-89.78
DTE Electric Company,Monroe (MI),MI,Monroe,817.2,Conventional Steam Coal,41.8906,-83.3464
DTE Electric Company,Monroe (MI),MI,Monroe,822.6,Conventional Steam Coal,41.8906,-83.3464
DTE Electric Company,Monroe (MI),MI,Monroe,822.6,Conventional Steam Coal,41.8906,-83.3464
DTE Electric Company,Monroe (MI),MI,Monroe,817.2,Conventional Steam Coal,41.8906,-83.3464
DTE Electric Company,Trenton Channel,MI,Wayne,535.5,Conventional Steam Coal,42.1217,-83.1808
Alabama Power Co,E C Gaston,AL,Shelby,952,Conventional Steam Coal,33.244211,-86.45806
Archer Daniels Midland Co,Archer Daniels Midland Mankato,MN,Blue Earth,6.1,Conventional Steam Coal,44.187066,-93.99242
Consumers Energy Co,J H Campbell,MI,Ottawa,265.2,Conventional Steam Coal,42.910296,-86.20074
Consumers Energy Co,J H Campbell,MI,Ottawa,378.8,Conventional Steam Coal,42.910296,-86.20074
Consumers Energy Co,J H Campbell,MI,Ottawa,916.8,Conventional Steam Coal,42.910296,-86.20074
Georgia Power Co,Wansley,GA,Heard,952,Conventional Steam Coal,33.41342,-85.03233
Georgia Power Co,Wansley,GA,Heard,952,Conventional Steam Coal,33.41342,-85.03233
Neenah Paper Michigan Inc.,Neenah Paper Munising Mill,MI,Alger,6.2,Conventional Steam Coal,46.4094,-86.6443
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
